ID,Line,Severity,Issue summary,Issue description,Property names,Property values,Error blocks capability,Capabilities
insp_03380c3b-ba28-4898-ae12-6f7cdbf892d1,202015,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_21248622-185d-4261-b67f-abc6bdbd1544,201643,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_6e694f7b-358c-42ab-86b2-b40087360e92,202651,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_13a4385f-b33e-4ef2-a1da-3179da040608,201667,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_155b527c-f416-47fc-bf84-117962693207,201691,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_f55008bb-c8ff-4065-8532-0064055325fb,201715,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_072adb7b-9917-4842-9858-009d84198bd5,201955,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_9a3a9abb-4826-42c8-a412-a286a225c4d2,201823,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_b1b3f3a7-eca4-43ab-9863-fae0beb69bf4,201775,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_7edebac9-6ecc-4b7e-bdc5-de78a926caed,202423,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_c6da02b8-d48e-4ec4-9fa7-d1436be1b797,202087,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_44ba3a55-15ed-44a2-ac19-260b683757a4,202603,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_fe3206d2-b268-452c-869b-e2123b17f997,202111,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_6ac5ffa8-7de2-4797-9cee-29770765ac04,202687,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_34f493d8-ee91-44c1-899a-d58458d4ed2d,201787,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_62519c76-6224-4af8-8e1c-c2f4c1ec5cd7,202387,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_be3cfe55-2d94-4cc9-927b-80d7a8e18281,202027,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_6aa41758-77d8-4be6-aede-2fe13a2276a8,201991,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
